0,45087;0;0,04832;1;0,5;2;0,4503;3;0,5;4;0,16738;5
;;;;0,5;;0,3514;;0,5;;;
;;;;0,5;;0,3476;;0,5;;;
;;;;0,5;;0,3441;;0,5;;;
;;;;0,5;;0,34375;;0,5;;;
;;;;0,5;;0,34945;;0,5;;;
;;;;0,5;;0,34451;;0,5;;;
;;;;0,5;;0,34453;;0,5;;;
;;;;0,5;;0,34483;;0,5;;;
;;;;0,5;;0,34364;;0,5;;;
;;;;0,5;;0,34284;;0,5;;;
;;;;0,5;;0,33997;;0,5;;;
;;;;0,5;;0,34127;;0,5;;;
;;;;0,5;;0,33827;;0,5;;;
;;;;0,5;;0,33714;;0,5;;;
;;;;0,5;;0,33939;;0,5;;;
;;;;0,5;;0,34079;;0,5;;;
;;;;0,5;;0,3396;;0,5;;;
;;;;0,5;;0,33859;;0,5;;;
;;;;0,5;;0,33448;;0,5;;;
;;;;0,5;;0,33477;;0,5;;;
;;;;0,5;;0,33251;;0,5;;;
;;;;0,5;;0,3317;;0,5;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
;;;;0,5;;;;;;;
